0430,"{'Lon': 37.6225146, 'Lat': 55.7791071}","Олимпийский пр-т, д.14",21,0
0317,"{'Lon': 37.587744, 'Lat': 55.712075}","Ленинский пр-т, д.33",12,0
0351,"{'Lon': 37.572725, 'Lat': 55.6880358}","ул. Дмитрия Ульянова, д.22, к.1 (ст. м. Академическая)",18,21
0439,"{'Lon': 37.6320952, 'Lat': 55.7761657}","пр-т Мира, д.11",12,0
0250,"{'Lon': 37.5393069, 'Lat': 55.7481479}","Пресненская наб., д.6, стр.2 (Москва-Сити, башня Империя)",14,21
0391,"{'Lon': 37.6066403, 'Lat': 55.6636625}","Нахимовский пр-т, д.11 (ст. м. Нахимовский пр-т, выход №4)",12,0
0396,"{'Lon': 37.5953863, 'Lat': 55.6794909}","ул. Дмитрия Ульянова, д.46",12,0
0338,"{'Lon': 37.5268164, 'Lat': 55.6667781}",ул. Новаторов (пересечение с ул. Воронцовские Пруды),15,0
0326,"{'Lon': 37.5807208, 'Lat': 55.6534724}","ул. Каховка, д.10/12, к.1",12,0
0337,"{'Lon': 37.5341468, 'Lat': 55.668303}","ул. Академика Пилюгина, д.18",12,0
0328,"{'Lon': 37.604728, 'Lat': 55.6416745}","Балаклавский пр-т, д.16 (ст. м. Чертановская, выход №3)",18,0
0307,"{'Lon': 37.5775101, 'Lat': 55.7012679}","ул. Вавилова, д.24",12,0
0208,"{'Lon': 37.565242, 'Lat': 55.723833}","ул. 10-летия Октября (напротив д.29, к.3, ст. м. Спортивная, выход №2)",18,0
0028,"{'Lon': 37.6248436, 'Lat': 55.7606867}","ул. Пушечная, д.11",12,0
0301,"{'Lon': 37.545765, 'Lat': 55.700717}","пр-т Вернадского, ост. Университетский пр-т",12,0
0345,"{'Lon': 37.576594, 'Lat': 55.708218}","ул. Косыгина, д.2, стр.19",12,0
0344,"{'Lon': 37.564743, 'Lat': 55.706876}","ул. Косыгина, д.8, стр.2",12,0
0350,"{'Lon': 37.562443, 'Lat': 55.691614}","ул. Вавилова, д.55/7",21,0
0362,"{'Lon': 37.561994, 'Lat': 55.678516}","Нахимовский пр-т, д.46 (ст. м. Профсоюзная, выход №3)",21,0
0023,"{'Lon': 37.632794, 'Lat': 55.749635}","Москворецкая наб. (Китайгородский пр., д.9, стр.2)",27,0
0038,"{'Lon': 37.634929, 'Lat': 55.7576991}","ул. Маросейка, д.9",12,0
0077,"{'Lon': 37.62838, 'Lat': 55.73876}","ул. Пятницкая, д.37",10,0
0119,"{'Lon': 37.6086074, 'Lat': 55.7735332}","ул. Краснопролетарская (напротив д.2/4, стр.3)",12,0
0073,"{'Lon': 37.6195157, 'Lat': 55.7362414}","ул. Большая Полянка, д.33/41, стр.1",18,0
0246,"{'Lon': 37.5622227, 'Lat': 55.7490298}","Кутузовский пр-т, д.7/4, стр.1",12,0
0363,"{'Lon': 37.5838691, 'Lat': 55.6712381}","Нахимовский пр-т, д.24",12,0
0364,"{'Lon': 37.5201069, 'Lat': 55.6836121}","ул. Марии Ульяновой, д.16",12,0
0365,"{'Lon': 37.5326129, 'Lat': 55.6787267}","ул. Гарибальди, д.1А",12,0
0368,"{'Lon': 37.6080312, 'Lat': 55.6592363}","Симферопольский б-р, д.4",12,0
0370,"{'Lon': 37.5389143, 'Lat': 55.6649089}","ул. Воронцовские Пруды, д.3",12,0
0371,"{'Lon': 37.5595989, 'Lat': 55.6608021}","ул. Новочерёмушкинская, д.71/32",12,0
0029,"{'Lon': 37.60962, 'Lat': 55.762079}","ул. Тверская, д.8",20,0
0357,"{'Lon': 37.523769, 'Lat': 55.699342}","Ломоносовский пр-т (дублёр), д.27",12,0
0043,"{'Lon': 37.59311, 'Lat': 55.763584}","Большой Патриарший пер., д.7",12,0
0374,"{'Lon': 37.5529893, 'Lat': 55.6512748}","ул. Обручева, д.33А",12,0
0375,"{'Lon': 37.5639941, 'Lat': 55.6502405}","ул. Обручева, д.65/54",12,0
0376,"{'Lon': 37.5820766, 'Lat': 55.6450878}","Балаклавский пр-т, д.34, к.1",12,0
0381,"{'Lon': 37.5137244, 'Lat': 55.6477514}","ул. Академика Волгина, д.21",12,0
0384,"{'Lon': 37.5308314, 'Lat': 55.634235}","ул. Введенского, д.32",15,0
0385,"{'Lon': 37.4953587, 'Lat': 55.6440884}","ул. Островитянова, д.7",12,0
0420,"{'Lon': 37.6163822, 'Lat': 55.785259}","ул. Советской Армии, д.2, стр.1",12,0
0441,"{'Lon': 37.6317848, 'Lat': 55.7815506}","пр-т Мира, д.41, стр.2",21,0
0444,"{'Lon': 37.6393391, 'Lat': 55.8195275}","пр-т Мира, д.111 (ст. м. ВДНХ, выход к Звёздному бульвару)",24,0
0445,"{'Lon': 37.647529, 'Lat': 55.8277664}","ул. Сергея Эйзенштейна, д.1",12,0
0446,"{'Lon': 37.6541501, 'Lat': 55.8339685}","пр-т Мира, д.163",12,0
0470,"{'Lon': 37.623526, 'Lat': 55.8217153}","ул. Академика Королёва, д.8А",21,0
0480,"{'Lon': 37.5802, 'Lat': 55.82188}","ул. Яблочкова, д.25",12,0
0481,"{'Lon': 37.5805768, 'Lat': 55.8278585}","ул. Милашенкова, д.12Д",12,0
0482,"{'Lon': 37.5942708, 'Lat': 55.8133394}","ул. Руставели, д.12/13",12,0
0389,"{'Lon': 37.4954392, 'Lat': 55.6558941}","ул. 26-ти Бакинских Комиссаров, д.2Б",12,0
0464,"{'Lon': 37.6010653, 'Lat': 55.8302838}","ул. Ботаническая, д.4, стр.6",45,0
0465,"{'Lon': 37.617075, 'Lat': 55.8243764}","1-я Останкинская ул., д.1",30,0
0466,"{'Lon': 37.6391911, 'Lat': 55.825363}",Продольный пр. (у главного входа ВДНХ),48,0
0469,"{'Lon': 37.6159792, 'Lat': 55.8189299}","ул. Академика Королёва, д.15, к.2",12,0
0080,"{'Lon': 37.6265178, 'Lat': 55.7456921}","ул. Пятницкая, д.2/38",12,0
0081,"{'Lon': 37.6333164, 'Lat': 55.7398418}","ул. Большая Татарская, д.19/13",18,0
0084,"{'Lon': 37.6352882, 'Lat': 55.7373622}","ул. Большая Татарская, д.35",12,0
0085,"{'Lon': 37.645458, 'Lat': 55.7483533}","Котельническая наб., д.1",18,0
0060,"{'Lon': 37.6331175, 'Lat': 55.7617374}","ул. Мясницкая, д.11",12,0
0390,"{'Lon': 37.5192587, 'Lat': 55.6527248}","ул. Академика Волгина, д.6",12,0
0335,"{'Lon': 37.539523, 'Lat': 55.6565141}","ул. Профсоюзная, д.82, к.1 (ст. м. Калужская)",15,0
0336,"{'Lon': 37.5323146, 'Lat': 55.6505176}","ул. Профсоюзная, д.88/20",15,0
0394,"{'Lon': 37.5629419, 'Lat': 55.6771438}","Нахимовский пр-т, д.51/21 (ст. м. Профсоюзная, выход №7)",18,0
0309,"{'Lon': 37.5710478, 'Lat': 55.6651369}",ул. Болотниковская (парк им. 70-ти летия Победы),12,0
0407,"{'Lon': 37.6079968, 'Lat': 55.7806984}","ул. Селезнёвская, д.28",12,0
0245,"{'Lon': 37.56871, 'Lat': 55.74496}","Площадь Киевского вокзала, д.2",18,0
0410,"{'Lon': 37.6089126, 'Lat': 55.778327}","2-й Щемиловский пер., д.14",12,0
0248,"{'Lon': 37.55784, 'Lat': 55.74622}","ул. Б. Дорогомиловская, д.7/2",15,0
0416,"{'Lon': 37.6023012, 'Lat': 55.7924677}","ул. Сущёвский Вал, д.16, стр.1",12,0
0453,"{'Lon': 37.5897749, 'Lat': 55.8459731}",ст. м. Владыкино,36,0
0485,"{'Lon': 37.5741987, 'Lat': 55.8191407}","Дмитровское ш., д.13А, к.3 (ст. м. Тимирязевская)",18,0
0157,"{'Lon': 37.6048252, 'Lat': 55.731981}","ул. Крымский Вал, д.9, стр.1 (напротив входа в Парк Горького)",44,0
0005,"{'Lon': 37.5999825, 'Lat': 55.7553104}","Никитский б-р (напротив д.11/12, стр.3)",12,0
0017,"{'Lon': 37.641671, 'Lat': 55.763247}","Чистопрудный б-р (напротив д.8, стр.1)",8,0
0380,"{'Lon': 37.5006237, 'Lat': 55.6533607}","ул. Миклухо-Маклая, д.6",12,0
0323,"{'Lon': 37.58531, 'Lat': 55.70674}",ст. м. Ленинский проспект (южный вестибюль),36,0
0049,"{'Lon': 37.641517, 'Lat': 55.76728}","ул. Мясницкая, д.39, стр.1",10,0
0603,"{'Lon': 37.657647, 'Lat': 55.7082873}","ул. Мастеркова, д.3 (ст. м. Автозаводская)",15,0
0422,"{'Lon': 37.6158903, 'Lat': 55.792512}","ул. Советской Армии, д.17/52",12,0
0404,"{'Lon': 37.5959992, 'Lat': 55.776466}","ул. Чаянова, д.15",12,0
0004,"{'Lon': 37.5874544, 'Lat': 55.7591806}","ул. Малая Никитская, д.24, стр.2",12,0
0412,"{'Lon': 37.6182931, 'Lat': 55.776646}","ул. Самотечная, д.9",12,0
0475,"{'Lon': 37.6414493, 'Lat': 55.8224303}","Продольный пр., д.115А (ст. м. ВДНХ, северный вестибюль)",24,0
0031,"{'Lon': 37.616547, 'Lat': 55.759165}","ул. Большая Дмитровка, д.2",12,0
0022,"{'Lon': 37.6101276, 'Lat': 55.7464818}","Кремлёвская наб., д.1",27,0
